Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,4339.08,1684.64,12.02,4577.79,0.0,25.0,186,6,1,86.78271484375,4
2,Inferencing,2747.4,2587.29,7.72,3545.24,50.0,50.0,3,1,0,1.1963891983032227,4
3,Inferencing,1926.89,2257.09,5.39,2744.77,75.0,75.0,3,1,0,1.0387263298034668,4
4,Inferencing,1271.75,617.85,3.43,1379.73,75.0,100.0,3,1,0,1.0111284255981445,4
5,Inferencing,925.17,223.86,2.50,945.27,100.0,100.0,3,1,0,1.005577564239502,4
6,Inferencing,1219.37,318.96,3.42,1250.27,100.0,100.0,3,1,0,1.2322230339050293,4
7,Inferencing,350.54,282.52,0.96,427.48,100.0,100.0,3,1,0,1.1971890926361084,4
8,Inferencing,1223.66,337.88,3.23,1258.16,100.0,100.0,4,0,0,1.2520825862884521,4
9,Inferencing,720.93,503.96,1.92,842.75,100.0,100.0,4,0,0,1.2802059650421143,4
10,Inferencing,996.4,393.93,2.69,1053.19,100.0,100.0,4,0,0,1.2461509704589844,4
11,Inferencing,2048.98,245.57,5.42,2059.98,50.0,100.0,4,0,0,1.2600173950195312,4
12,Inferencing,3908.0,2085.49,9.27,4305.16,25.0,50.0,4,0,0,1.2631025314331055,4
13,Inferencing,5206.59,394.07,11.11,5217.76,0.0,0.0,4,0,0,1.2298245429992676,4
14,Inferencing,2687.79,874.56,5.91,2792.46,25.0,50.0,4,0,0,1.1740446090698242,4
15,Inferencing,2006.92,226.82,4.27,2016.51,50.0,100.0,4,0,0,0.983957052230835,4
16,Inferencing,1839.1,1174.11,3.81,2101.47,75.0,75.0,4,0,0,0.9747922420501709,4
17,Inferencing,1818.92,440.31,3.86,1858.46,75.0,100.0,4,0,0,0.9271881580352783,4
18,Inferencing,985.62,610.02,2.14,1118.28,100.0,100.0,4,0,0,0.9424033164978027,4
19,Inferencing,936.66,866.53,2.06,1200.2,100.0,100.0,4,0,0,0.9314560890197754,4
20,Inferencing,745.23,689.9,1.61,955.16,100.0,100.0,4,0,0,0.9968960285186768,4
21,Inferencing,967.49,448.54,2.03,1042.56,100.0,100.0,4,0,0,1.2514843940734863,4
22,Inferencing,674.4,624.56,1.32,864.51,100.0,100.0,4,0,0,1.2425611019134521,4
23,Inferencing,1499.17,770.03,2.91,1640.8,75.0,100.0,4,0,0,1.2522451877593994,4
24,Inferencing,1115.15,665.01,2.10,1255.08,100.0,100.0,4,0,0,1.2161290645599365,4
25,Inferencing,1690.98,1004.21,3.13,1901.51,75.0,100.0,4,0,0,1.2595279216766357,4
26,Inferencing,1193.03,660.51,2.26,1323.08,75.0,100.0,4,0,0,1.2520835399627686,4
27,Inferencing,651.79,643.81,1.20,857.73,100.0,100.0,4,0,0,1.2492940425872803,4
28,Inferencing,1308.58,364.11,2.47,1346.03,100.0,100.0,4,0,0,1.1898400783538818,4
29,Inferencing,853.68,483.27,1.64,950.76,100.0,100.0,4,0,0,1.2429296970367432,4
30,Inferencing,1440.92,622.89,2.87,1538.58,100.0,100.0,4,0,0,1.2488691806793213,4
31,Inferencing,740.83,164.43,1.45,754.39,100.0,100.0,4,0,0,1.1960768699645996,4
32,Inferencing,224.21,106.48,0.44,242.43,100.0,100.0,4,0,0,1.0952210426330566,4
33,Inferencing,1193.23,796.21,2.27,1378.13,75.0,100.0,4,0,0,0.9350934028625488,4
34,Inferencing,873.41,389.63,1.77,936.32,100.0,100.0,4,0,0,0.9384512901306152,4
35,Inferencing,516.96,277.75,1.05,570.18,100.0,100.0,4,0,0,0.9970474243164062,4
36,Inferencing,994.36,643.22,2.04,1139.76,100.0,100.0,4,0,0,1.0846288204193115,4
37,Inferencing,1123.58,372.91,2.23,1169.07,100.0,100.0,4,0,0,1.270359754562378,4
38,Inferencing,500.92,416.01,1.01,617.03,100.0,100.0,4,0,0,1.2195348739624023,4
39,Inferencing,886.98,568.55,1.79,1014.48,100.0,100.0,4,0,0,1.2560391426086426,4
40,Inferencing,238.38,189.76,0.49,289.54,100.0,100.0,4,0,0,1.2292547225952148,4
41,Inferencing,991.08,308.71,2.08,1026.51,100.0,100.0,4,0,0,1.199249267578125,4
42,Inferencing,1327.76,568.91,2.69,1416.23,100.0,100.0,4,0,0,1.2256298065185547,4
43,Inferencing,691.6,556.25,1.39,842.83,100.0,100.0,4,0,0,1.2080638408660889,4
44,Inferencing,514.95,272.53,1.04,566.46,100.0,100.0,4,0,0,1.1424741744995117,4
45,Inferencing,234.85,153.28,0.49,269.77,100.0,100.0,4,0,0,1.2245783805847168,4
46,Inferencing,248.04,200.95,0.53,303.0,100.0,100.0,4,0,0,1.2003703117370605,4
47,Inferencing,545.51,367.36,1.17,631.51,100.0,100.0,4,0,0,1.2266590595245361,4
48,Inferencing,467.75,144.94,1.01,484.3,100.0,100.0,4,0,0,1.103989601135254,4
49,Inferencing,1056.85,293.94,2.24,1087.08,100.0,100.0,4,0,0,1.0130305290222168,4
50,Inferencing,462.46,405.94,0.98,580.91,100.0,100.0,4,0,0,0.9131133556365967,4
51,Inferencing,583.99,291.52,1.24,636.22,100.0,100.0,4,0,0,1.0908212661743164,4
52,Inferencing,1708.41,1365.86,3.56,2077.94,75.0,75.0,4,0,0,1.2462489604949951,4
53,Inferencing,2164.86,399.35,4.41,2192.31,25.0,100.0,4,0,0,1.2759227752685547,4
54,Inferencing,713.28,434.41,1.52,806.41,100.0,100.0,4,0,0,1.2678091526031494,4
55,Inferencing,1471.87,421.98,3.24,1516.56,100.0,100.0,4,0,0,1.2404234409332275,4
56,Inferencing,1018.62,1206.65,2.56,1459.31,75.0,100.0,4,0,0,1.259690284729004,4
