Date,Mean of error,SD of error
2015-12-21,836.66,822.03
2015-12-28,836.66,822.03
2016-01-04,836.66,822.03
2016-01-11,836.66,822.03
2016-01-18,812.24,804.7
2016-01-25,812.24,804.7
2016-02-01,812.24,804.7
2016-02-08,812.24,804.7
2016-02-15,811.45,796.43
2016-02-22,811.45,796.43
2016-02-29,811.45,796.43
2016-03-07,811.45,796.43
2016-03-14,801.4,784.21
2016-03-21,801.4,784.21
2016-03-28,801.4,784.21
2016-04-04,801.4,784.21
2016-04-11,792.64,791.72
2016-04-18,792.64,791.72
2016-04-25,792.64,791.72
2016-05-02,792.64,791.72
2016-05-09,792.12,781.76
2016-05-16,792.12,781.76
2016-05-23,792.12,781.76
2016-05-30,792.12,781.76
2016-06-06,790.13,785.09
2016-06-13,790.13,785.09
2016-06-20,790.13,785.09
2016-06-27,790.13,785.09
2016-07-04,752.68,775.1
2016-07-11,752.68,775.1
2016-07-18,752.68,775.1
2016-07-25,752.68,775.1
2016-08-01,742.5,771.91
2016-08-08,742.5,771.91
2016-08-15,742.5,771.91
2016-08-22,742.5,771.91
2016-08-29,734.92,766.58
2016-09-05,734.92,766.58
2016-09-12,734.92,766.58
2016-09-19,734.92,766.58
2016-09-26,727.13,764.29
2016-10-03,727.13,764.29
2016-10-10,727.13,764.29
2016-10-17,727.13,764.29
2016-10-24,715.06,743.81
2016-10-31,715.06,743.81
2016-11-07,715.06,743.81
2016-11-14,715.06,743.81
2016-11-21,747.0,793.92
2016-11-28,747.0,793.92
2016-12-05,747.0,793.92
2016-12-12,747.0,793.92
2016-12-19,730.56,742.44
2016-12-26,730.56,742.44
2017-01-02,730.56,742.44
2017-01-09,730.56,742.44
2017-01-16,725.94,727.42
2017-01-23,725.94,727.42
2017-01-30,725.94,727.42
2017-02-06,725.94,727.42
2017-02-13,711.31,718.88
2017-02-20,711.31,718.88
2017-02-27,711.31,718.88
2017-03-06,711.31,718.88
2017-03-13,709.5,710.22
