Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,1892.3,1560.84,3.90,2450.67,80.56,211,1,0,55.950010538101196,1
2,Inferencing,1763.87,1382.31,3.67,2239.01,80.56,212,0,0,1.0105557441711426,1
3,Inferencing,1786.36,1417.52,3.76,2278.41,81.02,212,0,0,0.9678640365600586,1
4,Inferencing,1840.11,1486.22,3.93,2363.18,81.02,212,0,0,0.9544508457183838,1
5,Inferencing,1914.71,1586.97,4.16,2484.53,79.63,212,0,0,0.9726414680480957,1
6,Inferencing,1998.79,1678.59,4.40,2607.64,77.31,212,0,0,0.9946482181549072,1
7,Inferencing,2020.74,1644.82,4.46,2603.13,75.93,212,0,0,0.9859862327575684,1
8,Inferencing,2079.86,1753.7,4.64,2717.91,75.93,212,0,0,0.9963719844818115,1
9,Inferencing,2121.83,2009.24,4.82,2918.99,78.24,211,1,0,2.2093284130096436,1
10,Inferencing,1912.61,1690.77,4.32,2550.2,82.41,208,4,0,52.988487243652344,1
11,Inferencing,1959.33,1725.44,4.49,2608.13,81.02,212,0,0,0.9716005325317383,1
12,Inferencing,1924.63,1608.43,4.43,2505.85,83.33,211,1,0,1.361283302307129,1
13,Inferencing,1921.2,1629.28,4.44,2516.6,82.41,211,1,0,0.8490962982177734,1
14,Inferencing,1941.34,1606.92,4.49,2517.74,82.87,212,0,0,0.9848968982696533,1
15,Inferencing,1929.59,1564.83,4.46,2482.07,83.33,212,0,0,1.0099196434020996,1
16,Inferencing,1964.79,1545.14,4.53,2497.35,80.56,212,0,0,1.0080299377441406,1
17,Inferencing,1986.08,1515.6,4.58,2496.18,81.02,212,0,0,0.9590039253234863,1
18,Inferencing,2016.62,1485.77,4.64,2502.81,80.56,212,0,0,0.9828693866729736,1
19,Inferencing,1953.77,1478.33,4.53,2447.97,81.48,212,0,0,0.9731094837188721,1
20,Inferencing,1932.6,1432.15,4.47,2403.44,82.41,212,0,0,0.9911184310913086,1
21,Inferencing,1910.4,1408.63,4.42,2371.64,82.41,212,0,0,0.9774959087371826,1
22,Inferencing,1910.58,1420.1,4.42,2378.58,80.56,212,0,0,0.9779036045074463,1
23,Inferencing,1852.0,1432.96,4.31,2339.61,82.41,212,0,0,1.0317654609680176,1
24,Inferencing,1845.92,1422.14,4.29,2328.21,81.94,212,0,0,0.9849801063537598,1
25,Inferencing,1835.3,1416.44,4.27,2316.32,81.94,212,0,0,0.998406171798706,1
26,Inferencing,1833.98,1409.97,4.26,2311.34,81.48,212,0,0,0.9899907112121582,1
27,Inferencing,1842.17,1397.0,4.27,2310.01,81.94,212,0,0,1.0511715412139893,1
28,Inferencing,1828.74,1387.36,4.24,2293.5,82.41,212,0,0,0.9687321186065674,1
29,Inferencing,1868.78,1413.39,4.31,2341.1,81.48,212,0,0,1.0000817775726318,1
30,Inferencing,1925.92,1410.41,4.41,2385.21,81.02,212,0,0,1.0183093547821045,1
31,Inferencing,1922.92,1400.06,4.39,2376.7,81.02,212,0,0,0.9940004348754883,1
32,Inferencing,1914.81,1385.2,4.36,2361.44,81.94,212,0,0,0.967811107635498,1
33,Inferencing,1891.24,1377.12,4.31,2337.62,82.87,212,0,0,0.9835684299468994,1
34,Inferencing,1885.18,1378.17,4.30,2333.34,83.33,212,0,0,0.9668059349060059,1
35,Inferencing,1846.82,1388.83,4.22,2308.82,83.33,212,0,0,0.9611029624938965,1
36,Inferencing,1885.6,1406.34,4.29,2350.34,81.94,212,0,0,0.9675769805908203,1
37,Inferencing,1945.85,1444.55,4.42,2421.45,80.09,212,0,0,1.0316262245178223,1
38,Inferencing,1976.53,1439.8,4.48,2443.38,80.09,212,0,0,0.9821631908416748,1
39,Inferencing,1983.9,1435.48,4.50,2446.82,80.09,212,0,0,1.0072391033172607,1
40,Inferencing,1980.14,1432.92,4.49,2442.28,80.09,212,0,0,0.9602112770080566,1
41,Inferencing,2012.2,1443.14,4.56,2474.26,79.17,212,0,0,0.9590966701507568,1
42,Inferencing,2017.17,1448.18,4.55,2481.23,77.31,212,0,0,1.0229547023773193,1
43,Inferencing,2024.65,1439.87,4.57,2482.51,76.39,212,0,0,1.0034093856811523,1
44,Inferencing,2012.79,1445.45,4.54,2476.08,76.85,212,0,0,0.988145112991333,1
45,Inferencing,1986.67,1436.31,4.47,2449.54,78.24,212,0,0,1.0036466121673584,1
46,Inferencing,1920.01,1386.9,4.31,2366.65,80.56,212,0,0,0.9880967140197754,1
47,Inferencing,1917.5,1385.63,4.30,2363.87,80.56,212,0,0,1.001279354095459,1
48,Inferencing,1917.94,1386.66,4.30,2364.83,80.56,212,0,0,0.9659326076507568,1
49,Inferencing,1915.96,1391.49,4.29,2366.05,79.63,212,0,0,0.9652717113494873,1
50,Inferencing,1912.19,1386.71,4.27,2360.2,79.63,212,0,0,1.0128509998321533,1
51,Inferencing,1902.75,1385.76,4.24,2352.0,80.09,212,0,0,0.9918861389160156,1
52,Inferencing,1934.47,1392.64,4.29,2381.73,79.63,212,0,0,0.9977784156799316,1
53,Inferencing,1959.02,1466.55,4.31,2445.12,78.24,212,0,0,0.9951367378234863,1
54,Inferencing,1941.58,1480.17,4.27,2439.37,76.39,212,0,0,0.9859793186187744,1
55,Inferencing,1973.75,1477.64,4.35,2463.54,75.93,212,0,0,0.9557614326477051,1
56,Inferencing,2009.72,1464.24,4.43,2484.56,76.39,212,0,0,0.9778637886047363,1
57,Inferencing,2106.82,1583.04,4.64,2633.08,74.54,212,0,0,1.0100970268249512,1
58,Inferencing,2213.69,1723.62,4.89,2803.13,72.69,212,0,0,1.0456023216247559,1
59,Inferencing,2271.4,1939.73,5.01,2984.02,70.83,211,1,0,1.118417739868164,1
60,Inferencing,2211.14,1965.84,4.86,2955.63,74.07,208,3,1,23.469532251358032,4
61,Inferencing,1955.88,1820.94,4.31,2669.45,80.09,211,0,1,1.4686279296875,4
62,Inferencing,1788.47,1751.21,3.92,2500.23,84.72,211,0,1,1.009993314743042,4
63,Inferencing,2141.69,1781.9,4.57,2783.4,74.07,211,0,1,6.957854509353638,5
64,Inferencing,1488.16,1447.49,3.14,2073.68,87.96,211,1,0,3.327709913253784,4
65,Inferencing,1432.48,1329.87,2.95,1952.52,89.3,212,0,0,1.035130262374878,4
