Date,Mean of error,SD of error
2015-11-23,1723.04,1408.68
2015-11-30,1723.04,1408.68
2015-12-07,1723.04,1408.68
2015-12-14,1723.04,1408.68
2015-12-21,1599.65,1249.62
2015-12-28,1599.65,1249.62
2016-01-04,1599.65,1249.62
2016-01-11,1599.65,1249.62
2016-01-18,1615.89,1257.55
2016-01-25,1615.89,1257.55
2016-02-01,1615.89,1257.55
2016-02-08,1615.89,1257.55
2016-02-15,2117.99,1378.37
2016-02-22,2117.99,1378.37
2016-02-29,2117.99,1378.37
2016-03-07,2117.99,1378.37
2016-03-14,1635.87,1262.98
2016-03-21,1635.87,1262.98
2016-03-28,1635.87,1262.98
2016-04-04,1635.87,1262.98
2016-04-11,1298.27,1081.6
2016-04-18,1298.27,1081.6
2016-04-25,1298.27,1081.6
2016-05-02,1298.27,1081.6
2016-05-09,1306.78,1074.93
2016-05-16,1306.78,1074.93
2016-05-23,1306.78,1074.93
2016-05-30,1306.78,1074.93
2016-06-06,1279.67,1063.86
2016-06-13,1279.67,1063.86
2016-06-20,1279.67,1063.86
2016-06-27,1279.67,1063.86
2016-07-04,1274.76,1056.99
2016-07-11,1274.76,1056.99
2016-07-18,1274.76,1056.99
2016-07-25,1274.76,1056.99
2016-08-01,1287.74,1030.68
2016-08-08,1287.74,1030.68
2016-08-15,1287.74,1030.68
2016-08-22,1287.74,1030.68
2016-08-29,1253.77,1024.34
2016-09-05,1253.77,1024.34
2016-09-12,1253.77,1024.34
2016-09-19,1253.77,1024.34
2016-09-26,1249.87,1022.0
2016-10-03,1249.87,1022.0
2016-10-10,1249.87,1022.0
2016-10-17,1249.87,1022.0
2016-10-24,1218.2,1027.58
2016-10-31,1218.2,1027.58
2016-11-07,1218.2,1027.58
2016-11-14,1218.2,1027.58
2016-11-21,1250.32,1050.27
2016-11-28,1250.32,1050.27
2016-12-05,1250.32,1050.27
2016-12-12,1250.32,1050.27
2016-12-19,1249.95,1018.75
2016-12-26,1249.95,1018.75
2017-01-02,1249.95,1018.75
2017-01-09,1249.95,1018.75
2017-01-16,1222.0,1004.17
2017-01-23,1222.0,1004.17
2017-01-30,1222.0,1004.17
2017-02-06,1222.0,1004.17
2017-02-13,1182.12,969.17
2017-02-20,1182.12,969.17
2017-02-27,1182.12,969.17
2017-03-06,1182.12,969.17
2017-03-13,1153.53,954.05
2017-03-20,1153.53,954.05
2017-03-27,1153.53,954.05
2017-04-03,1153.53,954.05
2017-04-10,1127.67,949.94
2017-04-17,1127.67,949.94
2017-04-24,1127.67,949.94
2017-05-01,1127.67,949.94
2017-05-08,1094.58,949.07
2017-05-15,1094.58,949.07
2017-05-22,1094.58,949.07
2017-05-29,1094.58,949.07
2017-06-05,1102.99,932.84
2017-06-12,1102.99,932.84
2017-06-19,1102.99,932.84
2017-06-26,1102.99,932.84
2017-07-03,1136.49,1034.67
2017-07-10,1136.49,1034.67
2017-07-17,1136.49,1034.67
2017-07-24,1136.49,1034.67
2017-07-31,1203.1,1122.23
2017-08-07,1203.1,1122.23
2017-08-14,1203.1,1122.23
2017-08-21,1203.1,1122.23
2017-08-28,1256.69,1106.39
2017-09-04,1256.69,1106.39
2017-09-11,1256.69,1106.39
2017-09-18,1256.69,1106.39
2017-09-25,1363.23,1189.44
2017-10-02,1363.23,1189.44
2017-10-09,1363.23,1189.44
2017-10-16,1363.23,1189.44
2017-10-23,1388.97,1148.22
2017-10-30,1388.97,1148.22
2017-11-06,1388.97,1148.22
2017-11-13,1388.97,1148.22
2017-11-20,1405.59,1146.39
2017-11-27,1405.59,1146.39
2017-12-04,1405.59,1146.39
2017-12-11,1405.59,1146.39
2017-12-18,1421.37,1125.2
2017-12-25,1421.37,1125.2
2018-01-01,1421.37,1125.2
2018-01-08,1421.37,1125.2
2018-01-15,1414.77,1105.53
2018-01-22,1414.77,1105.53
2018-01-29,1414.77,1105.53
2018-02-05,1414.77,1105.53
2018-02-12,1413.54,1104.66
2018-02-19,1413.54,1104.66
2018-02-26,1413.54,1104.66
2018-03-05,1413.54,1104.66
2018-03-12,1369.6,1065.97
2018-03-19,1369.6,1065.97
2018-03-26,1369.6,1065.97
2018-04-02,1369.6,1065.97
2018-04-09,1357.3,1072.02
2018-04-16,1357.3,1072.02
2018-04-23,1357.3,1072.02
2018-04-30,1357.3,1072.02
2018-05-07,1351.8,1075.28
2018-05-14,1351.8,1075.28
2018-05-21,1351.8,1075.28
2018-05-28,1351.8,1075.28
2018-06-04,1371.82,1086.03
2018-06-11,1371.82,1086.03
2018-06-18,1371.82,1086.03
2018-06-25,1371.82,1086.03
2018-07-02,1372.86,1077.43
2018-07-09,1372.86,1077.43
2018-07-16,1372.86,1077.43
2018-07-23,1372.86,1077.43
2018-07-30,1394.77,1067.55
2018-08-06,1394.77,1067.55
2018-08-13,1394.77,1067.55
2018-08-20,1394.77,1067.55
2018-08-27,1400.51,1062.53
2018-09-03,1400.51,1062.53
2018-09-10,1400.51,1062.53
2018-09-17,1400.51,1062.53
2018-09-24,1394.85,1064.95
2018-10-01,1394.85,1064.95
2018-10-08,1394.85,1064.95
2018-10-15,1394.85,1064.95
2018-10-22,1393.65,1057.68
2018-10-29,1393.65,1057.68
2018-11-05,1393.65,1057.68
2018-11-12,1393.65,1057.68
2018-11-19,1392.0,1054.64
2018-11-26,1392.0,1054.64
2018-12-03,1392.0,1054.64
2018-12-10,1392.0,1054.64
2018-12-17,1400.04,1046.35
2018-12-24,1400.04,1046.35
2018-12-31,1400.04,1046.35
2019-01-07,1400.04,1046.35
2019-01-14,1364.99,1007.49
2019-01-21,1364.99,1007.49
2019-01-28,1364.99,1007.49
2019-02-04,1364.99,1007.49
2019-02-11,1371.29,994.13
2019-02-18,1371.29,994.13
2019-02-25,1371.29,994.13
2019-03-04,1371.29,994.13
2019-03-11,1374.47,993.67
2019-03-18,1374.47,993.67
2019-03-25,1374.47,993.67
2019-04-01,1374.47,993.67
