Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,1849.17,604.53,5.26,1921.86,100.0,207,4,1,87.8473150730133,4
2,Inferencing,2892.67,781.5,8.07,2970.8,50.0,212,0,0,0.5917978286743164,4
3,Inferencing,4577.44,1956.8,12.23,4881.06,25.0,212,0,0,0.4369933605194092,4
4,Inferencing,3909.6,217.8,10.58,3914.15,0.0,211,0,1,9.239468574523926,6
5,Inferencing,3419.78,654.44,9.53,3466.42,25.0,212,0,0,34.19946002960205,6
6,Inferencing,1763.96,304.79,4.93,1783.6,100.0,211,0,1,35.96055507659912,9
7,Inferencing,1231.9,654.17,3.25,1355.93,100.0,212,0,0,40.05679154396057,9
8,Inferencing,581.22,270.56,1.55,626.67,100.0,212,0,0,40.3000271320343,9
9,Inferencing,1682.63,359.24,4.59,1711.15,100.0,212,0,0,40.29284954071045,9
10,Inferencing,192.62,133.03,0.51,224.44,100.0,212,0,0,40.53954529762268,9
11,Inferencing,1191.08,1541.78,2.89,1789.27,75.0,212,0,0,40.23676252365112,9
12,Inferencing,7404.22,1068.4,15.93,7461.81,0.0,212,0,0,40.782042026519775,9
13,Inferencing,4539.89,1459.03,9.95,4712.45,0.0,209,0,3,60.3970091342926,18
14,Inferencing,4802.03,409.62,10.25,4815.12,0.0,212,0,0,80.56114506721497,18
15,Inferencing,3557.36,891.95,7.39,3640.26,50.0,212,0,0,80.908194065094,18
16,Inferencing,767.54,138.28,1.63,776.83,100.0,212,0,0,80.63992953300476,18
17,Inferencing,285.78,423.6,0.61,465.02,100.0,212,0,0,80.93264532089233,18
18,Inferencing,1091.88,589.31,2.41,1205.26,100.0,212,0,0,80.22113823890686,18
19,Inferencing,468.85,336.21,1.03,551.9,100.0,212,0,0,80.4342029094696,18
20,Inferencing,970.6,488.23,2.06,1058.7,100.0,212,0,0,76.83916091918945,18
21,Inferencing,4410.66,644.91,8.81,4445.88,0.0,212,0,0,77.36257886886597,18
22,Inferencing,4921.25,1048.31,9.44,5004.29,0.0,212,0,0,72.75676321983337,18
23,Inferencing,2732.86,1031.92,5.27,2875.27,75.0,212,0,0,71.50225448608398,18
24,Inferencing,5438.3,1087.81,9.94,5519.3,0.0,212,0,0,71.13545036315918,18
25,Inferencing,2082.46,582.56,3.92,2142.7,100.0,212,0,0,71.14356684684753,18
26,Inferencing,2936.65,1428.56,5.41,3186.61,50.0,212,0,0,72.12278079986572,18
27,Inferencing,2839.88,700.74,5.28,2904.0,50.0,212,0,0,71.73208951950073,18
28,Inferencing,466.77,273.3,0.89,523.35,100.0,212,0,0,72.5264904499054,18
29,Inferencing,1094.42,1099.64,2.19,1450.74,100.0,212,0,0,72.75312161445618,18
30,Inferencing,1339.52,657.99,2.63,1455.69,100.0,212,0,0,71.54050707817078,18
31,Inferencing,161.6,158.07,0.32,211.78,100.0,212,0,0,72.67235279083252,18
32,Inferencing,730.32,636.84,1.39,915.17,100.0,212,0,0,71.39176177978516,18
33,Inferencing,2109.67,1511.48,4.29,2482.77,50.0,212,0,0,72.17365837097168,18
34,Inferencing,1898.84,526.72,3.84,1952.86,100.0,212,0,0,71.19111776351929,18
35,Inferencing,1970.93,345.98,4.07,1993.57,100.0,212,0,0,71.00314927101135,18
36,Inferencing,679.44,286.53,1.36,723.34,100.0,212,0,0,62.54759693145752,15
37,Inferencing,317.18,50.03,0.64,320.12,100.0,212,0,0,62.13493752479553,15
38,Inferencing,766.87,466.85,1.55,866.92,100.0,212,0,0,62.40041995048523,15
39,Inferencing,703.94,423.84,1.46,793.89,100.0,212,0,0,62.7088680267334,15
40,Inferencing,792.03,625.98,1.67,959.79,100.0,212,0,0,62.26951575279236,15
41,Inferencing,1927.54,1234.44,3.91,2204.15,75.0,212,0,0,62.500163078308105,15
42,Inferencing,2650.36,659.89,5.31,2711.27,75.0,212,0,0,62.444376945495605,15
43,Inferencing,1216.73,311.77,2.46,1246.32,100.0,212,0,0,62.36324715614319,15
44,Inferencing,944.68,646.41,1.98,1098.09,100.0,212,0,0,62.60690188407898,15
45,Inferencing,1931.15,301.8,4.14,1948.76,100.0,212,0,0,62.61500525474548,15
46,Inferencing,842.52,405.2,1.81,912.68,100.0,212,0,0,62.882221937179565,15
47,Inferencing,865.3,495.55,1.86,965.88,100.0,212,0,0,62.56784629821777,15
